id,date,backenddevelopment,java,dotnet,php,ccplusplusembeded,python,ruby,go,nodejs,frontenddevelopment,js,react,angular,vue,fulstackdevelopment,pmandba,qa,devops,databaseengineer,cybersecurity,sysadmin,datawarehouse,bigdata,datavisualisation,mlandai,ui_ux,technical_support,mobile,ios,android,itmanagment,junior
1,2023-08-13,953,284,183,130,138,85,7,21,74,428,413,178,86,22,218,284,205,188,57,84,84,52,15,55,45,52,123,86,28,40,27,146
2,2023-08-14,954,282,187,128,139,86,8,22,73,429,414,174,84,23,221,287,209,192,56,85,86,50,15,56,46,51,121,86,28,40,26,144
14,2023-08-15,951,284,187,125,136,82,8,24,80,436,420,179,85,23,224,271,203,214,54,85,83,49,16,55,47,54,116,86,28,40,25,150
25,2023-08-16,955,282,188,126,137,83,8,23,82,429,413,172,83,23,222,263,207,211,56,83,85,48,16,55,45,54,116,83,28,39,26,138
31,2023-08-17,939,273,184,129,133,83,7,23,80,427,411,172,84,23,220,257,215,211,54,84,82,49,16,55,46,55,112,90,29,44,27,131
33,2023-08-18,926,271,181,127,130,80,7,22,80,421,405,171,84,22,215,258,214,209,54,85,81,49,16,55,47,55,105,90,29,44,27,119
36,2023-08-19,920,269,181,127,130,80,7,18,80,419,403,169,83,22,214,258,213,207,54,85,81,49,16,54,47,55,105,90,29,44,27,119
37,2023-08-20,920,269,181,127,130,80,7,18,80,418,402,168,83,22,214,258,213,207,54,85,81,49,16,54,47,55,105,90,29,44,27,119
43,2023-08-21,919,269,182,125,132,83,8,16,79,423,406,169,82,23,220,262,214,207,55,84,82,51,16,58,51,56,107,90,29,43,30,122
45,2023-08-22,919,268,183,121,134,84,8,15,80,424,408,173,79,25,222,258,212,208,56,82,83,50,13,58,49,54,107,90,29,43,29,123
48,2023-08-23,928,266,189,119,135,84,8,20,81,426,410,174,78,25,225,257,214,205,52,82,87,51,10,58,47,52,104,93,30,45,28,118
49,2023-08-24,913,268,183,114,133,85,8,20,79,424,408,179,77,22,224,266,210,204,52,82,83,54,10,60,47,53,106,88,26,42,32,119
51,2023-08-25,920,268,186,115,136,85,9,20,77,425,409,179,76,22,223,262,216,206,55,83,82,54,10,60,47,53,109,88,27,42,31,123
53,2023-08-26,919,267,186,115,136,85,9,20,77,424,408,179,76,22,223,261,215,206,54,82,82,54,10,60,46,53,107,88,27,42,31,123
55,2023-08-27,919,267,186,115,136,85,9,20,77,424,408,179,76,22,223,260,215,206,54,82,82,54,10,60,46,53,107,88,27,42,31,123
57,2023-08-28,911,267,184,114,136,86,9,19,75,422,407,178,79,21,218,265,219,206,55,74,85,53,10,60,45,55,104,88,28,42,32,121
60,2023-08-29,911,266,183,116,135,85,9,19,69,428,413,179,78,22,221,262,216,199,53,74,86,54,10,55,48,54,97,88,27,43,32,123
61,2023-08-30,908,270,181,118,130,85,7,17,71,438,423,185,79,22,226,263,212,195,53,71,84,53,10,54,51,53,95,88,27,43,33,125
63,2023-08-31,902,268,178,115,130,82,9,18,72,434,421,181,74,20,226,256,222,198,53,69,85,49,10,53,52,52,90,87,25,43,34,123
65,2023-09-01,904,271,174,118,130,86,9,18,71,433,420,179,71,23,229,262,226,199,52,69,82,49,10,52,55,47,92,91,28,45,38,124
67,2023-09-02,903,271,174,118,130,86,8,18,71,433,420,179,71,23,229,262,226,199,52,69,82,49,10,52,55,46,89,91,28,45,38,124
70,2023-09-03,903,271,174,118,130,86,8,18,71,433,420,179,71,23,229,262,226,199,52,69,82,49,10,52,54,46,89,91,28,45,38,124
72,2023-09-04,907,270,174,115,129,89,9,19,71,434,422,175,74,24,226,271,228,203,51,71,82,49,7,49,58,47,91,91,27,45,38,129
73,2023-09-05,895,261,171,116,130,87,9,20,71,437,425,178,72,24,225,268,229,203,51,70,80,52,9,49,57,49,94,90,26,43,38,133
75,2023-09-06,884,259,168,115,128,87,9,20,69,426,415,175,71,23,218,266,226,202,51,68,80,52,9,48,55,48,94,86,24,42,38,132
77,2023-09-07,862,251,165,112,127,82,9,20,63,410,399,165,68,22,209,256,228,206,48,65,77,51,9,46,54,51,95,84,23,41,38,132
79,2023-09-08,871,265,167,113,127,80,9,20,58,411,400,166,67,22,207,260,224,204,52,66,78,49,9,45,54,52,99,77,21,38,44,135
81,2023-09-09,866,265,166,113,127,79,9,20,57,407,396,162,66,22,204,258,223,204,52,66,78,49,9,45,54,52,99,76,20,38,43,134
84,2023-09-10,866,265,166,113,127,79,9,20,57,407,396,162,66,22,204,258,223,204,52,66,78,49,9,45,54,52,99,76,20,38,43,134
85,2023-09-11,872,268,164,112,132,79,8,21,56,414,403,170,71,21,202,261,220,204,54,69,72,47,9,48,54,53,99,80,21,40,44,133
87,2023-09-12,869,267,167,107,134,79,8,21,55,409,399,167,72,20,202,263,216,201,53,68,71,47,10,43,53,52,101,81,20,42,44,132
89,2023-09-13,869,270,154,107,136,83,8,22,57,404,394,171,66,20,197,266,222,198,52,69,70,48,10,46,54,53,102,87,21,43,44,126
91,2023-09-14,852,262,147,103,135,83,8,21,58,401,391,173,63,21,194,269,212,195,49,68,67,51,6,45,55,55,98,83,21,38,44,127
93,2023-09-15,860,264,153,104,135,83,8,23,58,404,394,175,64,20,195,269,212,198,50,68,68,51,5,44,53,57,101,88,24,40,43,128
96,2023-09-16,860,264,153,104,135,83,8,23,58,404,394,175,64,20,195,269,211,198,50,68,68,51,5,44,53,57,101,88,24,40,43,128
97,2023-09-17,860,264,153,104,135,83,8,23,58,404,394,175,64,20,195,269,211,198,50,68,68,51,5,44,53,57,101,88,24,40,43,128
99,2023-09-18,854,260,158,102,135,78,8,23,57,402,391,174,63,23,195,271,213,200,46,70,67,47,5,42,45,62,101,90,24,42,40,131
101,2023-09-19,845,256,156,102,132,78,9,23,57,401,389,171,63,23,196,270,214,201,45,65,70,44,5,42,43,65,98,89,25,40,40,134
103,2023-09-20,841,246,158,106,133,81,9,22,56,385,373,167,63,23,188,263,207,186,45,65,69,47,5,42,43,65,98,89,25,40,41,136
105,2023-09-21,830,230,159,112,137,79,8,18,56,373,361,162,58,23,177,251,207,183,44,65,65,45,5,41,42,67,94,87,24,37,31,132
