Category: All categories

Week,spa: (Bulgaria),спа: (Bulgaria)
2023-12-03,41,61
2023-12-10,36,62
2023-12-17,39,52
2023-12-24,46,73
2023-12-31,59,88
2024-01-07,53,95
2024-01-14,52,92
2024-01-21,59,84
2024-01-28,64,100
2024-02-04,57,81
2024-02-11,52,84
2024-02-18,53,80
2024-02-25,49,68
2024-03-03,43,61
2024-03-10,48,65
2024-03-17,46,58
2024-03-24,44,55
2024-03-31,42,59
2024-04-07,37,48
2024-04-14,39,53
2024-04-21,39,49
2024-04-28,42,50
2024-05-05,40,44
2024-05-12,43,47
2024-05-19,41,48
2024-05-26,39,42
2024-06-02,45,47
2024-06-09,48,46
2024-06-16,46,46
2024-06-23,51,47
2024-06-30,50,50
2024-07-07,56,56
2024-07-14,56,59
2024-07-21,60,56
2024-07-28,59,57
2024-08-04,54,60
2024-08-11,58,66
2024-08-18,56,60
2024-08-25,53,69
2024-09-01,55,62
2024-09-08,49,55
2024-09-15,49,56
2024-09-22,45,60
2024-09-29,48,61
2024-10-06,42,57
2024-10-13,47,66
2024-10-20,49,64
2024-10-27,46,75
2024-11-03,46,60
2024-11-10,44,68
2024-11-17,50,68
2024-11-24,49,63
2024-12-01,44,59
